address_id,postcode,street,city,country
ADDR1,DN21,60596 Pawling Trail,Upton,United Kingdom
ADDR2,BD7,6 Briar Crest Hill,Bradford,United Kingdom
ADDR3,BS14,13 Superior Plaza,Whitchurch,United Kingdom
ADDR4,WC1B,4439 Brickson Park Point,London,United Kingdom
ADDR5,S1,38 Eagle Crest Point,Sheffield,United Kingdom
ADDR6,B12,68 Lindbergh Street,Birmingham,United Kingdom
ADDR7,AB55,1 Gale Center,Tullich,United Kingdom
ADDR8,NR34,5573 Troy Park,Brampton,United Kingdom
ADDR9,BT66,5 Muir Terrace,Craigavon,United Kingdom
ADDR10,EH9,8 3rd Court,Edinburgh,United Kingdom
ADDR11,CT15,718 Becker Place,Sutton,United Kingdom
ADDR12,NN11,081 Eastwood Park,Norton,United Kingdom
ADDR13,B40,7768 Becker Point,Birmingham,United Kingdom
ADDR14,CT15,415 Kingsford Parkway,Sutton,United Kingdom
ADDR15,M34,9 Westerfield Circle,Denton,United Kingdom
ADDR16,GL54,89 Rusk Road,Ford,United Kingdom
ADDR17,BS41,0 Sunnyside Parkway,Bristol,United Kingdom
ADDR18,NG22,309 Sachs Street,Milton,United Kingdom
ADDR19,GU32,54581 Chinook Terrace,Weston,United Kingdom
ADDR20,BT2,0 American Ash Lane,Belfast,United Kingdom
ADDR21,DL8,0861 Elka Road,Carlton,United Kingdom
ADDR22,M34,16644 Knutson Drive,Denton,United Kingdom
ADDR23,OX7,7 Hollow Ridge Crossing,Dean,United Kingdom
ADDR24,LE15,1789 Debra Trail,Seaton,United Kingdom
ADDR25,M14,9 Loftsgordon Plaza,Manchester,United Kingdom
ADDR26,CV35,55 Maple Trail,Walton,United Kingdom
ADDR27,NR29,90942 Birchwood Avenue,Newport,United Kingdom
ADDR28,LS9,91 Vahlen Street,Halton,United Kingdom
ADDR29,SN1,89 Mariners Cove Road,Swindon,United Kingdom
ADDR30,EH52,98 Maple Wood Terrace,Burnside,United Kingdom
ADDR31,NR34,86 Del Sol Pass,Brampton,United Kingdom
ADDR32,BS41,30354 Scoville Junction,Bristol,United Kingdom
ADDR33,NN4,3 Mallory Pass,Wootton,United Kingdom
ADDR34,DN36,67 Chive Center,West End,United Kingdom
ADDR35,DN21,0 Johnson Trail,Upton,United Kingdom
ADDR36,BD23,71 Almo Point,Thorpe,United Kingdom
ADDR37,EH52,415 Cambridge Street,Burnside,United Kingdom
ADDR38,NR29,94 Karstens Drive,Newport,United Kingdom
ADDR39,M34,89857 Mendota Trail,Denton,United Kingdom
ADDR40,PR1,439 Lakewood Circle,Preston,United Kingdom
ADDR41,WC2H,477 Tomscot Center,London,United Kingdom
ADDR42,SW1E,9334 Graceland Lane,London,United Kingdom
ADDR43,CV35,61603 Pepper Wood Road,Walton,United Kingdom
ADDR44,PH43,431 Atwood Junction,Kinloch,United Kingdom
ADDR45,SN13,175 Transport Center,Ashley,United Kingdom
ADDR46,EC1V,0238 Canary Way,London,United Kingdom
ADDR47,S8,756 Maryland Crossing,Norton,United Kingdom
ADDR48,RG20,72 Waywood Drive,Newtown,United Kingdom
ADDR49,B12,67708 Little Fleur Terrace,Birmingham,United Kingdom
ADDR50,L74,582 Loomis Junction,Liverpool,United Kingdom
